수집일자,카테고리,순위,브랜드,상품명,상품페이지링크,정가,혜택가,할인율,리뷰수,리뷰별점,별점5비율,별점4비율,별점3비율,별점2비율,별점1비율,세일,쿠폰,증정,오늘드림,상품번호,카테고리ID
2026-07-21,전체,24,에스트라,[2025어워즈1위] 에스트라 아토베리어365 크림 80ml 기획 (+하이드로 에센스25ml+앰플7ml),https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000222833,33000,29700,10.0,36187,4.9,90,7,2,0,1,1,0,1,1,A000000222833,ALL
2026-07-21,전체,25,에스티로더,[7월올영픽] 에스티로더 더블웨어 파운데이션 11 Colors 15ml/30ml (기획/단품),https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000254348,92000,76360,17.0,2760,4.8,86,9,3,1,1,1,1,1,1,A000000254348,ALL
2026-07-21,전체,26,셀라딕스,[조유리 PICK/트러블1등] 셀라딕스 트러블 세범 리밸런싱 131 앰플 30ml,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000224494,28900,24900,13.8,5072,4.7,83,9,5,1,2,1,1,0,1,A000000224494,ALL
2026-07-21,전체,27,바닐라코,[7월올영픽/1+1] 바닐라코 무드 온 라인 앤 블렌드 아이라이너 (펜슬/트임) 8colors,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000226202,12000,12000,0.0,3535,4.7,80,14,4,1,1,0,0,1,1,A000000226202,ALL
2026-07-21,전체,28,웰라쥬,[속건조필수템] 웰라쥬 리얼 히알루로닉 블루 100 앰플 75ml 2입 기획,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000231885,50000,29900,40.2,9589,4.8,89,8,2,0,0,1,0,0,1,A000000231885,ALL
2026-07-21,전체,29,에스트라,[7월 올영픽] 에스트라 아토베리어365 하이드로 수딩크림 80ml 기획 (+수딩크림 10ml+클렌징폼 30g),https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000258834,33000,26400,20.0,12285,4.8,88,9,2,0,1,1,1,1,1,A000000258834,ALL
2026-07-21,전체,30,션리,[즉각쿨링/SOS진정세럼] 션리 다시마 그리너리 세럼35ml,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000233336,30000,24000,20.0,5196,5.0,100,0,0,0,,1,0,0,1,A000000233336,ALL
2026-07-21,전체,31,비플레인,[말끔모공/국민클폼]비플레인 녹두 약산성 클렌징폼기획 160ml+40ml 기획,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000187479,21900,18600,15.1,17484,4.9,89,9,2,0,0,1,0,0,1,A000000187479,ALL
2026-07-21,전체,32,정샘물,[여름에디션기획/미니쿠션증정] 정샘물 에센셜 스킨 누더 쿠션/본품+리필,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000139063,48000,38400,20.0,37522,4.7,81,13,4,1,1,1,0,1,1,A000000139063,ALL
2026-07-21,전체,33,메디힐,[장도연 PICK] 메디힐 마데카소사이드 흔적 리페어 세럼 40+40ml,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000211119,36900,22900,37.9,42698,4.7,82,12,4,1,1,1,0,0,1,A000000211119,ALL
2026-07-21,전체,34,릴리이브,[대용량/브러쉬원조] 릴리이브 그로우턴 엑소좀 브러쉬 앰플 기획 2종,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000218845,39800,37800,5.0,11764,4.8,86,10,3,1,1,1,1,0,1,A000000218845,ALL
2026-07-21,전체,35,홀리카홀리카,[NEW젤테일] 홀리카홀리카 마이페이브 피스 아이섀도우/젤테일/피스 빔/피스 밤,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000174309,6000,4800,20.0,195281,4.8,85,11,3,0,0,0,1,0,1,A000000174309,ALL
2026-07-21,전체,36,스킨푸드,[1+1/한정기획] 스킨푸드 캐롯 카로틴 카밍 워터 패드 60매 더블기획 (+PDRN 패드 2매*3),https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000255585,42000,26200,37.6,102270,4.8,89,8,2,0,1,1,0,0,1,A000000255585,ALL
2026-07-21,전체,37,션리,[수분진정/광채캡슐크림] 션리 다시마 글레이즈드 크림 50g,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000233337,28000,22400,20.0,5797,5.0,100,0,0,,0,1,0,0,1,A000000233337,ALL
2026-07-21,전체,38,메디힐,[15년연속 1위] 메디힐 에센셜 마스크팩 1매 고기능 7종 골라담기,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000217620,2000,1000,50.0,503778,4.9,89,8,2,0,0,1,0,0,1,A000000217620,ALL
2026-07-21,전체,39,셀리맥스,"[흔적,기미,미백/TXA] 셀리맥스 트라넥삼산 잡티 크림 35ml 기획 (+14ml)",https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000253592,35000,21900,37.4,1233,4.9,94,4,1,0,0,1,1,1,1,A000000253592,ALL
2026-07-21,전체,40,투크,[NEW컬러] 투크 워터프루프 슬림 아이라이너 15 colors,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000185046,13900,11900,14.4,57922,4.7,81,13,5,1,1,1,1,0,1,A000000185046,ALL
2026-07-21,전체,41,구달,[1등 선크림/화잘먹] 구달 맑은 어성초 진정 수분 선크림 50ml 1+1 기획,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000219553,22000,17900,18.6,42667,4.9,90,8,2,0,0,1,1,0,1,A000000219553,ALL
2026-07-21,전체,42,닥터지,[7월올영픽/무기자차] 닥터지 그린 마일드 업 선 플러스50ml 기획 (50ml+50ml+10ml) (선크림),https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000180162,29000,24800,14.5,25529,4.8,83,13,3,0,0,1,0,0,1,A000000180162,ALL
2026-07-21,전체,43,연작,[7월올영픽/화잘먹베이스] 연작 스킨 퍼펙팅 프로텍티브 베이스 프렙 25ml/40ml 기획/단품,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000213943,33000,27720,16.0,11692,4.8,83,11,4,1,1,1,1,1,1,A000000213943,ALL
2026-07-21,전체,44,힌스,"[7일특가/13호, 19호 출시] 힌스 메쉬 매트 쿠션 6 Colors 한정 기획 (+리필+글리터밤)",https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000238757,34000,27200,20.0,14754,4.6,77,14,6,2,1,0,1,1,1,A000000238757,ALL
2026-07-21,전체,45,딜라이트 프로젝트,딜라이트 프로젝트 단백질쉐이크 45g 택1,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000208162,3900,3900,0.0,42398,4.8,90,7,3,0,0,0,0,0,1,A000000208162,ALL
2026-07-21,전체,46,메디힐,[7월 올영픽/마스코트 파우치 증정] 메디힐 마데카소사이드 수분 선세럼 흔적 리페어 50g +50g 더블기획,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000259586,34900,22400,35.8,8860,4.9,90,7,2,0,1,1,1,0,1,A000000259586,ALL
2026-07-21,전체,47,브링그린,[7월올영픽/3일진정세럼]브링그린 징크테카 트러블 세럼 대용량 기획,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000200646,56100,28900,48.5,21793,4.7,82,12,5,1,1,1,1,0,1,A000000200646,ALL
2026-07-21,전체,48,메디힐,[단독기획 8+1매] 메디힐 하이퍼 겔마스크 4종 (콜라겐/PDRN/마데카소사이드/히알루론산),https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000239102,36000,25200,30.0,45841,4.8,87,9,2,0,0,1,0,0,1,A000000239102,ALL
2026-07-21,전체,49,라로슈포제,[손상장벽집중케어] 라로슈포제 시카플라스트 밤 B5+ 100ml 기획 (+3ml 추가증정),https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000206904,41000,36900,10.0,25657,4.8,86,10,3,1,1,1,0,1,1,A000000206904,ALL
2026-07-21,전체,50,바닐라코,[7월올영픽/1등 파우더] 바닐라코 프라임 프라이머 피니쉬 파우더 12g,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000253093,22000,15400,30.0,44421,4.8,86,10,3,0,0,1,0,1,1,A000000253093,ALL
2026-07-21,전체,51,아누아,[오선우pick/리뉴얼] 아누아 어성초 실키 모이스처 선크림 50ml 더블 기획,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000207901,34900,23900,31.5,3781,4.9,91,7,2,0,0,1,1,1,1,A000000207901,ALL
